I10_DX,CCS,CCS_lvl1,CCS_lvl2
B831,DX8,DX-1,DX-1.4
B832,DX8,DX-1,DX-1.4
B833,DX8,DX-1,DX-1.4
B834,DX8,DX-1,DX-1.4
B838,DX8,DX-1,DX-1.4
B839,DX8,DX-1,DX-1.4
B850,DX8,DX-1,DX-1.4
B851,DX8,DX-1,DX-1.4
B852,DX8,DX-1,DX-1.4
B853,DX8,DX-1,DX-1.4
B854,DX8,DX-1,DX-1.4
B86,DX8,DX-1,DX-1.4
B870,DX8,DX-1,DX-1.4
B871,DX8,DX-1,DX-1.4
B872,DX8,DX-1,DX-1.4
B873,DX8,DX-1,DX-1.4
